Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,
1,So,5-8,Mikayla Blakes,Vanderbilt,SEC,86.9,9.4,16,120.5,78.8,32.8,52.5,58.8,3.3,9.9,25.9,14.5,0.8,4.5,36.6,214-414,0.517,12,93-259,0.359
2,Jr,5-6,Hannah Hidalgo,Notre Dame,ACC,90.4,8.9,18.9,112.2,68.7,34.5,50,55.6,5.2,16.9,30.8,14.4,0.8,8.5,32.8,303-572,0.53,6,36-142,0.254
3,Sr,5-11,Kiki Rice,UCLA,B10,76.7,8.1,16,133.1,71.4,22.1,53.6,61,6.2,15,21.9,13.9,1.3,2.8,40.5,154-292,0.527,4.6,33-88,0.375
4,Jr,6-1,Madison Booker,Texas,SEC,80.8,7.7,18.1,122.9,65.3,25.6,54.5,59,6.7,17.7,19.7,14.4,2.4,3.8,27.5,267-476,0.561,3.5,23-77,0.299
5,Sr,6-2,Brooklyn Meyer,South Dakota St.,Sum,74.3,7.7,16.5,129.3,82.4,31.3,64.6,68.2,12,17.9,21.5,13.7,7.1,1.8,50.1,298-457,0.652,0.2,0-4,0
6,Jr,6-3,Audi Crooks,Iowa St.,B12,69.9,7.7,13.2,122.8,86.7,32.6,65,68,9.9,19.6,15.5,14.3,2.7,0.5,44.4,319-482,0.662,0.7,1-11,0.091
7,So,6-3,Joyce Edwards,South Carolina,SEC,75.7,7.6,15.7,119.7,68.6,27.9,58.4,61.8,11.1,12.2,13.9,17.2,3.6,3.2,40.7,297-504,0.589,0.5,2-10,0.2
8,So,5-7,Jaloni Cambridge,Ohio St.,B10,80.7,7.5,12.9,113.2,77.1,31.8,53.4,58.1,3.8,14.9,28.4,15.6,1.3,3.1,30.3,256-481,0.532,6.4,49-136,0.36
9,Sr,5-7,Shay Ciezki,Indiana,B10,85.9,7.5,10.7,113.7,88.1,29.6,60.6,64.7,1,10.8,21.6,18.7,0.4,2.5,24.3,181-317,0.571,9.2,79-177,0.446
10,So,6-2,Sarah Strong,Connecticut,BE,65.9,7.5,26.2,131.3,50.7,26,65.8,68.2,5.8,25.6,24.7,15,7.8,7,19.9,216-317,0.681,8,59-146,0.404
11,Sr,5-10,Olivia Miles,TCU,B12,87.8,7.3,13.2,114,72,29.3,54.7,59.3,1.8,18.5,36.4,20.8,0.7,2.9,28.9,195-349,0.559,8.9,73-208,0.351
12,Sr,6-7,Lauren Betts,UCLA,B10,66.7,7.2,17.7,122.2,67.4,28.9,57.9,59.8,15.9,19.8,21.4,16.8,7.6,2.3,25.1,263-452,0.582,0.1,0-2,0
13,Sr,6-2,Maggie Doogan,Richmond,A10,84.9,7.1,11.7,114.4,82.7,30.6,59.9,64.6,4,21.7,26.1,22.2,3.5,1.6,29.6,157-265,0.592,11.7,91-225,0.404
14,Jr,5-7,Kymora Johnson,Virginia,ACC,90,6.9,10,112.1,85.8,26.9,50.4,54.9,1.7,11.5,31.9,18.4,0.7,3.3,25.2,119-258,0.461,13.2,103-285,0.361
15,Fr,6-2,Jaliya Davis,Kansas,B12,54.9,6.9,8.6,116.7,86.7,29.7,61,65.7,13.3,12.9,12.5,17.7,2.8,1.3,54.9,192-315,0.61,0,0-0,0
16,Jr,6-3,Avery Koenen,North Dakota St.,Sum,72.1,6.8,15.3,130.3,79.4,28.9,63.5,67.3,10.7,35.6,19,13.1,4,2.7,68.5,221-349,0.633,0.4,3-6,0.5
17,Sr,6-0,Gianna Kneepkens,UCLA,B10,70.4,6.7,14,136.4,75,17.3,62.6,64.9,3,9.2,16.1,13.6,0.7,2.2,12.8,88-146,0.603,11,82-191,0.429
18,So,5-11,Britt Prince,Nebraska,B10,81.1,6.7,11.5,118.8,84,25.2,58.8,63.8,4,11.4,26.3,19.2,1.7,2.5,28.6,171-306,0.559,5,42-92,0.457
19,So,6-0,Avery Howell,Washington,B10,84.2,6.7,12.4,130.3,76.6,16.5,64.2,66.4,4.8,22.5,7.9,13.7,1.1,2.3,25.2,76-120,0.633,10.3,85-197,0.431
20,Sr,6-2,Mia Nicastro,Western Illinois,OVC,88.9,6.6,7.7,118,86.5,29.4,53.3,60.1,5.3,25.2,8.6,9.7,2.3,2.2,37.7,230-428,0.537,3.5,21-63,0.333
21,So,5-9,Liv McGill,Florida,SEC,87.4,6.6,8.6,98.7,79.9,34.4,47.1,51.5,3.6,13.6,38.5,22.6,1.5,3.8,33,208-413,0.504,8.4,47-178,0.264
22,Sr,5-11,Azzi Fudd,Connecticut,BE,71.1,6.6,17.7,124.6,65.2,23.6,60,61.8,3.1,7.3,17.3,12.1,2.2,4.9,8.5,139-266,0.523,12.9,115-253,0.455
23,Sr,5-10,Adrianna Smith,Maine,AE,87.4,6.6,11,103.4,85.7,39.2,47.1,51.9,9,27.3,41.4,14.8,2.2,3.1,30.2,254-544,0.467,4.1,25-75,0.333
24,So,6-1,Olivia Olson,Michigan,B10,76.8,6.6,13.4,116.9,71.2,25.9,50.5,55.5,5.6,16.7,14.6,13.2,1.6,3.1,31,207-398,0.52,6.4,39-128,0.305
25,Jr,6-0,S'Mya Nichols,Kansas,B12,71.5,6.6,10,116.1,87.2,30.8,53.4,64.6,1.2,10.8,36.2,20.7,0.7,2.2,80.2,130-264,0.492,5.1,39-89,0.438
26,Sr,6-0,Gabriela Jaquez,UCLA,B10,75.2,6.4,12.2,127.8,73.7,18.2,61.4,65.7,7.2,12.8,10,18.6,0.4,2.2,31.8,128-204,0.627,6.3,46-117,0.393
27,Sr,6-0,Cotie McMahon,Mississippi,SEC,74.7,6.4,11.1,109.5,79.7,31.3,48.3,53.9,4.5,14.8,22.9,16.6,1.4,2.1,43.5,210-420,0.5,6.7,36-127,0.283
28,Sr,5-9,Ta'Niya Latson,South Carolina,SEC,61,6.3,13.1,122.2,71.7,22.3,53.3,58.6,2.3,7.3,20.2,14.5,1.1,3.4,39.1,145-266,0.545,4.7,26-79,0.329
29,So,6-1,Berry Wallace,Illinois,B10,89.2,6.3,8.2,115.3,85.1,23.4,52.4,57.6,6.5,14.3,9.7,13.7,1,1.1,29.3,177-337,0.525,6.8,50-144,0.347
30,Jr,5-7,Sayvia Sellers,Washington,B10,78.3,6.3,12.3,110.3,79.7,28.7,55.3,58.6,1.9,8.4,26.9,21.4,2.3,2.9,21.6,145-254,0.571,11.8,74-209,0.354
31,Sr,6-6,Gracie Merkle,Penn St.,B10,59.6,6.2,9.1,121.5,96.1,26.6,72.5,72,14.8,19.1,12.3,20.4,3.7,0.5,37.6,216-298,0.725,0,0-0,0
32,Jr,5-10,Riley Weiss,Columbia,Ivy,82.1,6.1,9.3,115,85.1,26.2,51.6,55.1,2.9,8.2,14.1,14.4,1.3,3,20.3,145-305,0.475,13,93-246,0.378
33,Sr,5-8,Jessica Timmons,Alabama,SEC,79.8,6.1,8,112.3,82.3,24.5,52,57.6,2.7,12.6,15.7,14.9,0.1,1.5,33,114-245,0.465,9.8,74-188,0.394
34,Sr,5-9,Raven Johnson,South Carolina,SEC,71.4,6,15.4,127.3,70.6,17.5,56.7,59.1,3.1,11,26.9,16.7,2,2.9,15.6,113-209,0.541,5,41-99,0.414
35,Jr,5-9,Taliah Scott,Baylor,B12,76.5,6,8.5,106.2,81,30.2,46,55.6,0.9,7.2,19.5,19.5,0.3,2.1,47.4,102-234,0.436,13.5,80-249,0.321
36,Sr,5-9,Tonie Morgan,Kentucky,SEC,86.3,6,8.3,108.4,81,25.2,49.5,54.9,1.9,7.7,42.1,24.4,1.8,1.6,44.3,155-316,0.491,2.8,21-61,0.344
37,Jr,5-10,Oluchi Okananwa,Maryland,B10,65.9,5.9,14.3,117.3,76.5,29.3,54.6,59,13.1,9.1,15.5,18.3,0.9,4.6,39.5,195-342,0.57,5.1,24-81,0.296
38,Sr,5-8,Timaya Lewis-Eutsey,Marshall,SB,73.9,5.9,12.2,109.6,86.4,35.1,51.2,56.8,7.4,6.8,34.7,19.1,2.8,6.9,47.1,228-413,0.552,4.7,17-82,0.207
39,Jr,6-0,Tessa Johnson,South Carolina,SEC,65.7,5.9,13.3,126.4,73.7,18,59.7,61.5,1.8,10.7,14.2,14.6,1,1.3,13.5,77-159,0.484,10.7,90-196,0.459
40,Sr,6-0,Peyton McDaniel,James Madison,SB,80.9,5.9,12.4,118.9,80,24.4,52.3,56.1,5.3,18.8,14,10.6,1.5,2.7,24.2,155-294,0.527,11.5,81-235,0.345
41,Sr,6-2,Nikola Priede,Vermont,AE,87,5.9,9.8,117.8,84.1,25.7,58.4,59.9,7.6,19.2,16.3,12.5,4.8,1.7,23.1,250-426,0.587,0.1,0-2,0
42,Jr,6-2,Grace Slaughter,Missouri,SEC,89.6,5.9,4.1,106.1,95.3,25.5,51.3,56.3,6.4,12.8,11.6,15.1,0.6,0.8,35.5,162-334,0.485,6.9,59-154,0.383
43,Jr,5-10,Zoe Brooks,N.C. State,ACC,78.8,5.8,9,109.3,81.8,25.2,45.4,53.5,2.9,11.4,22.8,15.3,0.8,2.8,40.4,158-333,0.474,3.3,14-61,0.23
44,Jr,5-10,Grace Grocholski,Minnesota,B10,83.1,5.7,11.1,122.4,79.5,17.3,58.5,59.7,6.7,10.9,15.1,15.1,0.5,1.8,12.3,81-153,0.529,8.9,70-165,0.424
45,Jr,6-5,Clara Strack,Kentucky,SEC,78,5.7,12.8,108.4,70.2,27.1,50.7,53.6,11,24.3,12.8,15.2,7.9,2.3,30.9,215-398,0.54,5.1,25-100,0.25
46,So,5-9,Dani Carnegie,Georgia,SEC,82.6,5.7,10.7,109.6,80.4,25.8,51.8,55.9,2.2,15.3,20,15.4,0.2,2.4,23.4,113-224,0.504,12.6,84-237,0.354
47,Sr,5-10,Madison St. Rose,Princeton,Ivy,73.4,5.7,5.7,113.4,90.2,24.8,51.9,56.9,5.7,11.3,14.7,15.4,0.5,2.1,36.5,133-237,0.561,6.6,27-97,0.278
48,Sr,6-4,Grace Sullivan,Northwestern,B10,81.5,5.7,5.7,104.1,93.4,28,53,56.1,5,15.5,9.4,12.7,2.3,1.8,22,258-486,0.531,0.1,0-1,0
49,So,5-8,Kiyomi McMiller,Penn St.,B10,82.4,5.7,4.5,96.7,93.6,34.3,48.6,50.8,1.9,14.4,30,20.5,0.8,2.9,16.5,218-459,0.475,6.4,41-116,0.353
50,Jr,5-6,Halli Poock,Murray St.,MVC,81.1,5.7,4.4,112.6,101.2,31,49.8,56.1,1.6,6.9,27.9,14.8,0.4,1.2,37.3,175-360,0.486,10.9,80-232,0.345
51,Jr,6-0,Mikaylah Williams,LSU,SEC,71.3,5.6,13,122.7,73.2,20.2,57.5,61.3,3.1,14.9,17.9,21.1,0.6,2.5,25.5,135-246,0.549,6.1,50-119,0.42
52,Sr,5-3,Ny'Ceara Pryor,Texas A&M,SEC,83.3,5.6,12.3,100.1,78.4,29.2,44.5,49.5,2.2,10.9,52.4,19.1,0.6,5.9,49.7,138-313,0.441,3.1,16-51,0.314
53,So,5-7,Jasmine Bascoe,Villanova,BE,81.3,5.6,7,98.1,80.7,33.4,44.9,47.9,2.8,11.4,32.8,14.5,0.4,3.4,14.2,184-392,0.469,11.7,61-221,0.276
54,So,6-2,Toby Fournier,Duke,ACC,71.6,5.5,12.4,108.1,70.5,27.3,54.6,56.5,10.1,19,9.3,15.8,6.7,1.7,45.7,224-406,0.552,2.9,18-54,0.333
